rank,salary,cost,LSAT,GPA,libvol,faculty,age,clsize,north,south,east,west,lsalary,studfac,top10,r11_25,r26_40,r41_60,llibvol,lcost
46,45889,7221,163,3.400000095,456,52,126,241,0,1,0,0,10.73398113,4.634615421,0,0,0,1,6.12249279,8.884748459
175,,7500,159,3.119999886,221,41,3,195,0,1,0,0,,4.756097794,0,0,0,0,5.398162842,8.922657967
79,34130,14554,158,3.140000105,200,109,84,237,0,0,0,1,10.43793201,2.174311876,0,0,0,0,5.298317432,9.58562088
74,34400,13175,154,3.160000086,197,43,73,194,0,0,0,1,10.44581223,4.511627674,0,0,0,0,5.283203602,9.486076355
1,67815,18364,168,3.75,1745,113,173,553,0,0,1,0,11.12453842,4.893805504,1,0,0,0,7.464509964,9.818147659
139,30580,7820,160,3.420000076,231,36,12,76,0,0,0,1,10.32810116,2.111111164,0,0,0,0,5.442417622,8.964439392
28,51082,16740,158,3.25,395,67,,284,0,0,1,0,10.84118748,4.238805771,0,0,1,0,5.978885651,9.725556374
48,39000,7300,159,3.299999952,400,113,,310,0,1,0,0,10.57131672,2.743362904,0,0,0,1,5.991464615,8.895629883
116,29500,9625,152,2.849999905,240,42,118,161,0,0,1,0,10.29214573,3.833333254,0,0,0,0,5.480638981,9.172119141
132,27000,6810,152,3.25,146,22,76,96,0,0,0,1,10.2035923,4.363636494,0,0,0,0,4.983606815,8.826147079
38,40000,12622,161,3.400000095,593,65,95,205,1,0,0,0,10.59663486,3.153846264,0,0,1,0,6.385194302,9.443196297
30,50000,12382,160,3.49000001,510,54,133,209,1,0,0,0,10.81977844,3.870370388,0,0,1,0,6.234410763,9.423998833
109,31000,11588,159,3.299999952,410,63,,264,1,0,0,0,10.34174252,4.190476418,0,0,0,0,6.01615715,9.357725143
172,26000,7225,140,3.150000095,161,38,,176,0,1,0,0,10.16585159,4.631578922,0,0,0,0,5.081404209,8.885302544
17,63000,10190,159,3.49000001,727,54,120,233,0,0,0,1,11.05088997,4.314815044,0,1,0,0,6.588926315,9.229162216
113,30000,13200,158,3.200000048,280,188,86,260,1,0,0,0,10.30895233,1.382978678,0,0,0,0,5.634789467,9.48797226
62,36000,6996,159,3.430000067,325,39,94,302,0,0,0,1,10.49127388,7.743589878,0,0,0,0,5.783825397,8.853094101
92,33000,9738,160,3.299999952,329,48,77,135,0,1,0,0,10.40426254,2.8125,0,0,0,0,5.796057701,9.183791161
123,29750,13900,161,3.200000048,325,100,,246,0,0,0,1,10.30058479,2.460000038,0,0,0,0,5.783825397,9.539644241
83,34750,4247,156,3.349999905,540,47,78,284,0,1,0,0,10.45593452,6.042553425,0,0,0,0,6.291569233,8.353967667
93,33900,9639,157,3.200000048,236,39,139,142,0,1,0,0,10.43117046,3.641025543,0,0,0,0,5.463831902,9.17357254
73,35000,13950,160,3.24000001,285,154,,246,1,0,0,0,10.46310329,1.597402573,0,0,0,0,5.652489185,9.543234825
36,39000,16604,161,3.349999905,341,96,65,,0,0,0,1,10.57131672,,0,0,1,0,5.831882477,9.717398643
155,29640,14663,152,3.099999905,230,61,71,225,0,1,0,0,10.29687977,3.688524485,0,0,0,0,5.438079357,9.593082428
150,28420,,157,3.299999952,280,23,,95,0,0,1,0,10.25484848,4.13043499,0,0,0,0,5.634789467,
40,39500,12600,157,3.200000048,220,51,93,169,1,0,0,0,10.5840559,3.313725471,0,0,1,0,5.393627644,9.441452026
57,38000,13245,160,3.349999905,325,103,,261,0,0,1,0,10.54534149,2.533980608,0,0,0,1,5.783825397,9.491374969
37,42000,15114,157,3.24000001,285,88,61,437,0,0,0,1,10.64542484,4.965909004,0,0,1,0,5.652489185,9.623376846
140,30150,7504,154,3.200000048,246,41,23,166,0,1,0,0,10.31394005,4.048780441,0,0,0,0,5.505331516,8.923191071
105,30000,13800,157,3.099999905,252,49,112,155,0,1,0,0,10.30895233,3.163265228,0,0,0,0,5.529428959,9.532423973
107,39900,17310,155,3.200000048,392,138,59,482,0,1,0,0,10.59413147,3.492753506,0,0,0,0,5.971261978,9.759039879
2,65000,19575,168,3.670000076,750,97,126,381,1,0,0,0,11.08214283,3.927834988,1,0,0,0,6.620073318,9.882008553
20,49862,12949,163,3.559999943,800,128,,270,1,0,0,0,10.81701469,2.109375,0,1,0,0,6.684611797,9.468773842
54,40591,6268,153,3.299999952,260,32,131,170,0,1,0,0,10.61130142,5.3125,0,0,0,1,5.56068182,8.7432127
85,34750,10500,153,3,220,35,,151,0,1,0,0,10.45593452,4.314285755,0,0,0,0,5.393627644,9.259130478
96,36900,12133,154,3.279999971,245,57,90,159,0,0,0,1,10.51596642,2.789473772,0,0,0,0,5.501258373,9.403684616
122,29750,9292,155,3.200000048,124,27,74,77,1,0,0,0,10.30058479,2.85185194,0,0,0,0,4.820281506,9.136909485
97,34000,8700,156,3.400000095,304,56,97,162,0,0,0,1,10.43411541,2.892857075,0,0,0,0,5.717027664,9.0710783
114,29500,11150,152,3.069999933,242,103,77,402,0,0,1,0,10.29214573,3.902912617,0,0,0,0,5.488937855,9.319194794
125,29500,8274,158,3.200000048,350,48,,109,0,1,0,0,10.29214573,2.270833254,0,0,0,0,5.857933044,9.02087307
86,34700,16670,154,3,377,150,94,447,0,0,1,0,10.45449543,2.980000019,0,0,0,0,5.932245255,9.721365929
11,56200,19740,,,888,105,150,430,0,0,1,0,10.93667221,4.095238209,0,1,0,0,6.788971901,9.89040184
163,28800,6755,152,3.220000029,250,,86,,1,0,0,0,10.2681303,,0,0,0,0,5.52146101,8.818037987
110,28900,16860,159,3.230000019,165,55,,209,0,0,1,0,10.27159691,3.799999952,0,0,0,0,5.105945587,9.732699394
160,30000,6512,157,3,200,35,,118,1,0,0,0,10.30895233,3.37142849,0,0,0,0,5.298317432,8.781401634
167,28000,,151,3.309999943,234,47,92,172,0,1,0,0,10.23995972,3.659574509,0,0,0,0,5.455321312,
14,67000,18170,162,3.599999905,557,111,94,203,1,0,0,0,11.11244774,1.828828812,0,1,0,0,6.322565079,9.807527542
35,53177,16400,161,3.450000048,340,60,116,175,1,0,0,0,10.88138103,2.916666746,0,0,1,0,5.828945637,9.705036163
136,29699,16960,156,3,225,41,100,139,1,0,0,0,10.29886818,3.390244007,0,0,0,0,5.416100502,9.738613129
33,41300,12200,161,3.5,590,57,94,225,1,0,0,0,10.62861824,3.947368383,0,0,1,0,6.380122662,9.409191132
80,34800,9198,154,3.279999971,262,40,76,213,0,1,0,0,10.45737267,5.324999809,0,0,0,0,5.568344593,9.126741409
134,27000,10850,151,3.029999971,216,48,,237,0,1,0,0,10.2035923,4.9375,0,0,0,0,5.375278473,9.291920662
53,39000,12680,160,3.5,291,40,101,149,0,0,0,1,10.57131672,3.724999905,0,0,0,1,5.673323154,9.447781563
162,26000,16310,159,3.299999952,280,78,,232,0,0,1,0,10.16585159,2.974359035,0,0,0,0,5.634789467,9.699533463
8,65000,19767,165,3.700000048,540,93,133,238,0,0,1,0,11.08214283,2.559139729,1,0,0,0,6.291569233,9.891769409
165,24900,2623,146,3.380000114,211,56,72,149,0,1,0,0,10.12262344,2.660714388,0,0,0,0,5.351858139,7.872074127
129,28000,13800,159,3.299999952,301,65,,305,0,0,0,1,10.23995972,4.692307472,0,0,0,0,5.707110405,9.532423973
148,30135,14040,161,3.230000019,216,87,,163,0,1,0,0,10.31344223,1.87356317,0,0,0,0,5.375278473,9.549665451
64,37600,10638,157,3.220000029,450,37,,222,0,0,1,0,10.53475952,6,0,0,0,0,6.109247684,9.272188187
60,39800,10653,161,3.390000105,393,35,,242,0,0,1,0,10.59162235,6.91428566,0,0,0,1,5.973809719,9.273596764
70,36000,15500,158,3.200000048,409,63,,305,0,0,1,0,10.49127388,4.84126997,0,0,0,0,6.013715267,9.648594856
68,35000,13520,156,3.299999952,400,59,,259,0,1,0,0,10.46310329,4.389830589,0,0,0,0,5.991464615,9.511925697
151,29700,,154,3,268,69,58,269,0,1,0,0,10.29890251,3.898550749,0,0,0,0,5.590987206,
52,41000,16480,160,3.25,320,114,31,337,0,0,0,1,10.6213274,2.95614028,0,0,0,1,5.768321037,9.709902763
56,39000,15800,159,3.170000076,245,91,73,241,0,0,0,1,10.57131672,2.648351669,0,0,0,1,5.501258373,9.667765617
61,38750,15540,159,3.319999933,210,53,73,286,0,0,0,1,10.56488609,5.396226406,0,0,0,0,5.34710741,9.651172638
87,34700,15870,155,3.160000086,316,148,34,454,0,0,1,0,10.45449543,3.067567587,0,0,0,0,5.755742073,9.672185898
118,30000,10546,157,3.200000048,326,69,118,240,0,0,1,0,10.30895233,3.478260756,0,0,0,0,5.786897182,9.263502121
153,29650,6910,156,3.24000001,156,18,84,77,0,0,0,1,10.29721737,4.277777672,0,0,0,0,5.049856186,8.840724945
168,29500,12600,155,3,290,89,62,464,0,1,0,0,10.29214573,5.213483334,0,0,0,0,5.669880867,9.441452026
26,52000,17430,164,3.5,330,48,78,200,0,0,0,1,10.85899925,4.166666508,0,0,1,0,5.79909277,9.765948296
106,30050,9186,156,3.299999952,302,33,,127,1,0,0,0,10.3106184,3.848484755,0,0,0,0,5.710426807,9.125435829
42,39000,17372,159,3.180000067,440,41,62,256,0,1,0,0,10.57131672,6.243902206,0,0,0,1,6.086774826,9.762615204
75,34900,16240,157,3.150000095,340,78,74,410,0,0,0,1,10.46024227,5.256410122,0,0,0,0,5.828945637,9.695232391
6,63000,18186,167,3.779999971,414,52,92,180,0,0,0,1,11.05088997,3.461538553,1,0,0,0,6.025866032,9.808407784
146,30000,16585,,,316,83,85,217,0,1,0,0,10.30895233,2.614457846,0,0,0,0,5.755742073,9.716254234
108,29000,14340,158,3.299999952,300,130,79,520,0,0,1,0,10.27505112,4,0,0,0,0,5.703782558,9.570808411
51,41000,17348,155,3.200000048,319,75,90,295,0,0,1,0,10.6213274,3.933333397,0,0,0,1,5.765191078,9.761232376
45,41150,13300,157,3.299999952,439,190,90,396,0,0,1,0,10.62497902,2.084210634,0,0,0,1,6.084499359,9.495519638
117,29499,7716,,,345,,95,169,0,1,0,0,10.2921114,,0,0,0,0,5.843544483,8.951051712
12,59500,8640,163,3.5,850,,78,523,0,1,0,0,10.9937315,,0,1,0,0,6.745236397,9.064157486
170,27000,,145,2.730000019,300,45,38,230,0,1,0,0,10.2035923,5.111111164,0,0,0,0,5.703782558,
101,35500,4388,157,3.099999905,260,58,79,232,0,1,0,0,10.47728825,4,0,0,0,0,5.56068182,8.386629105
121,29799,,149,,305,51,13,285,1,0,0,0,10.30222988,5.588235378,0,0,0,0,5.720311642,
154,29600,10280,157,3.099999905,260,58,79,232,1,0,0,0,10.29552937,4,0,0,0,0,5.56068182,9.237955093
174,25000,14470,152,2.799999952,310,65,,286,0,0,1,0,10.12663078,4.400000095,0,0,0,0,5.736572266,9.579833031
100,36000,8715,155,3,260,56,,216,0,1,0,0,10.49127388,3.857142925,0,0,0,0,5.56068182,9.072800636
29,49000,8529,161,3.549999952,264,55,,124,0,0,0,1,10.79957581,2.25454545,0,0,1,0,5.575949192,9.05122757
69,35000,13710,155,3.299999952,215,42,196,175,1,0,0,0,10.46310329,4.166666508,0,0,0,0,5.370637894,9.525880814
16,57000,17750,164,3.619999886,329,75,112,187,0,1,0,0,10.95080662,2.49333334,0,1,0,0,5.796057701,9.784140587
152,29669,15114,159,3.200000048,175,53,,163,0,0,1,0,10.29785824,3.07547164,0,0,0,0,5.164785862,9.623376846
63,37000,15620,160,3.410000086,420,74,32,228,0,0,1,0,10.51867294,3.081081152,0,0,0,0,6.040254593,9.65630722
15,64000,15678,164,3.599999905,700,107,160,380,0,0,1,0,11.06663799,3.551401854,0,1,0,0,6.551080227,9.660014153
111,29700,14200,162,3.309999943,250,67,91,165,0,0,1,0,10.29890251,2.462686539,0,0,0,0,5.52146101,9.560997009
102,35000,7000,154,3.269999981,251,59,82,148,0,0,0,1,10.46310329,2.508474588,0,0,0,0,5.525453091,8.853665352
25,49000,10000,163,3.630000114,450,69,86,148,0,0,0,1,10.79957581,2.144927502,0,1,0,0,6.109247684,9.2103405
16,51490,13600,163,3.470000029,297,48,136,125,0,0,1,0,10.84914303,2.604166746,0,1,0,0,5.693732262,9.517825127
41,41500,17750,160,3.200000048,476,86,118,210,0,0,0,1,10.6334486,2.441860437,0,0,0,1,6.165417671,9.784140587
67,35000,6700,158,3.349999905,415,66,58,234,1,0,0,0,10.46310329,3.545454502,0,0,0,0,6.028278351,8.809863091
135,27900,11775,153,3.079999924,301,59,,251,0,0,1,0,10.23638153,4.254237175,0,0,0,0,5.707110405,9.373733521
156,29630,15960,155,3,230,40,10,247,0,0,0,1,10.29654217,6.175000191,0,0,0,0,5.438079357,9.677841187
138,29750,14200,154,3.099999905,481,206,,679,0,0,1,0,10.30058479,3.29611659,0,0,0,0,6.175867081,9.560997009
66,36000,12800,157,3.200000048,244,39,102,182,0,0,1,0,10.49127388,4.666666508,0,0,0,0,5.497168064,9.45720005
17,49321,13530,162,3.339999914,300,50,206,178,0,0,1,0,10.80610561,3.559999943,0,1,0,0,5.703782558,9.512664795
21,49900,11334,161,3.400000095,,47,,285,1,0,0,0,10.81777668,6.063829899,0,1,0,0,,9.335562706
143,31500,7396,157,3.400000095,174,17,65,79,0,0,0,1,10.35774326,4.647058964,0,0,0,0,5.159055233,8.908694267
3,69000,19780,171,3.819999933,850,100,140,101,0,0,1,0,11.14186192,1.00999999,1,0,0,0,6.745236397,9.892426491
120,29800,12870,,,200,35,,327,1,0,0,0,10.30226326,9.342857361,0,0,0,0,5.298317432,9.462654114
